Chrom,Location,SRR10901764.tmp,SRR10901775.tmp,SRR10901786.tmp,SRR10901806.tmp,SRR10901817.tmp,SRR10901829.tmp,SRR10901830.tmp,SRR10901831.tmp,SRR10901832.tmp,SRR10901833.tmp,SRR10901834.tmp,SRR10901835.tmp,SRR10901836.tmp,SRR10901837.tmp,SRR10901838.tmp,SRR10901839.tmp,SRR10901840.tmp,SRR10901842.tmp,SRR10901843.tmp,SRR10901845.tmp,SRR10901847.tmp,SRR10901848.tmp,SRR10901850.tmp,SRR10901851.tmp,SRR10901852.tmp,SRR10901853.tmp,SRR10901854.tmp,SRR10901855.tmp,SRR10901856.tmp,SRR10901857.tmp,SRR10901858.tmp,SRR10901859.tmp,SRR10901860.tmp,SRR10901861.tmp,SRR10901862.tmp,SRR10901863.tmp
chr10,6229035,26,12,19,3,11,0,15,2,26,5,32,23,0,4,29,24,11,17,23,17,45,36,31,20,13,17,8,16,12,15,3,27,13,24,38,13
chr10,6229041,3,7,3,3,5,0,3,0,6,3,7,10,0,1,2,9,3,2,4,2,2,3,5,4,2,7,1,7,3,3,1,6,14,0,4,2
chr10,6229042,31,22,26,18,20,2,16,11,48,27,33,32,0,10,31,52,21,23,34,13,35,32,36,19,12,57,19,51,20,28,0,41,36,40,32,25
chr10,6229072,27,21,24,17,17,2,16,11,45,26,33,31,0,10,28,53,18,21,31,13,30,29,34,18,11,53,17,50,18,24,0,41,36,33,29,22
chr10,6229025,25,18,26,16,16,2,17,10,45,26,33,33,0,10,27,53,18,19,31,14,28,31,33,15,12,49,18,49,17,23,0,39,36,31,27,22
chr10,6227933,30,21,25,17,21,2,17,9,44,26,32,33,0,10,31,56,22,19,32,15,31,31,37,14,14,51,18,52,16,25,0,41,38,36,29,25
chr10,6227943,37,22,28,22,22,2,16,9,54,30,36,35,0,12,40,55,20,19,32,15,34,34,37,18,19,57,19,52,18,28,0,40,37,41,37,34
chr10,6229012,31,23,34,20,19,2,22,9,53,30,45,25,0,11,33,51,22,16,32,16,27,38,34,16,21,56,15,52,16,28,1,41,39,43,41,26
chr10,6227929,27,23,29,17,19,2,20,9,49,29,39,25,0,11,31,49,22,17,30,17,22,36,32,17,22,54,14,49,15,28,1,39,38,40,38,23
chr10,6227944,25,13,20,4,9,0,19,1,32,7,40,24,0,3,27,28,13,16,18,16,45,40,29,23,14,14,11,17,12,15,0,24,9,27,39,17
chr10,6227954,22,12,17,3,9,0,16,2,25,5,32,23,0,2,27,23,9,16,18,14,41,32,29,20,12,13,8,14,12,13,2,27,8,21,34,10
chr10,6227977,22,12,17,3,9,0,16,2,25,5,32,23,0,2,27,23,9,16,18,15,41,32,29,20,12,13,8,14,12,13,2,27,9,22,34,11
chr10,6228948,23,12,19,3,11,0,16,2,26,5,33,23,0,3,28,25,9,17,18,15,42,33,29,19,12,14,8,16,12,13,2,27,9,25,35,11
chr10,6228949,26,12,20,3,11,0,16,2,26,5,32,24,0,3,30,25,10,17,22,17,43,34,32,20,13,17,8,16,12,17,3,26,11,24,36,12
chr10,6228951,26,12,19,3,10,0,15,2,26,5,31,23,0,4,29,25,11,17,23,17,44,36,31,19,13,17,8,15,12,15,3,26,12,23,38,13
chr10,6229013,26,12,19,3,10,0,15,2,26,5,31,23,0,4,29,25,11,17,23,17,44,36,31,19,13,17,8,15,12,15,3,26,12,23,38,13
chr10,6229024,25,14,21,3,10,0,15,2,27,4,30,22,0,3,28,22,11,17,24,17,42,33,29,18,13,17,8,16,12,18,2,25,12,23,39,11
chr10,6227976,27,21,24,15,16,2,16,11,45,26,32,31,0,10,28,53,18,21,31,13,31,29,34,18,11,52,17,50,18,24,0,41,36,32,29,23
chr10,6227967,14,11,13,3,5,0,11,1,21,6,27,21,0,1,23,15,8,14,15,9,29,21,19,17,9,8,6,9,8,12,0,21,5,22,31,6
chr10,6229050,14,11,13,3,5,0,10,1,21,5,26,21,0,1,24,15,7,14,15,9,29,21,18,17,9,7,6,8,7,10,0,21,4,19,31,5
chr10,6229034,14,11,13,3,5,0,10,1,20,5,26,20,0,1,24,15,7,14,15,9,30,21,19,15,9,7,6,8,7,10,0,21,4,19,32,5
chr11,23953491,29,21,24,17,17,2,16,11,46,25,33,31,0,10,28,53,19,21,31,13,30,30,34,19,11,53,17,49,19,24,0,42,37,35,29,23
chr11,23953492,30,23,33,20,19,2,22,9,51,30,44,25,0,11,32,51,22,16,31,17,26,37,34,15,21,56,15,52,16,29,1,39,40,43,39,25
chr11,69736,29,23,32,19,19,2,22,9,51,30,44,25,0,11,32,51,22,16,32,17,26,37,34,16,22,57,14,52,16,29,1,38,39,43,40,24
chr11,69741,28,24,29,16,21,2,20,10,50,29,40,25,0,11,32,49,22,18,31,17,22,37,32,18,23,55,14,51,16,28,1,40,39,40,37,22
chr11,69749,25,13,20,4,9,0,19,1,32,7,40,24,0,3,27,29,13,16,18,16,45,40,29,23,14,14,11,17,12,15,0,24,9,27,39,17
chr11,69758,28,23,28,19,17,3,20,8,49,34,32,25,0,9,32,44,21,23,32,19,20,35,26,20,25,48,15,40,17,25,0,35,38,38,30,22
chr11,70363,28,23,28,20,17,3,20,8,49,34,32,25,0,9,32,44,21,23,32,19,20,35,26,20,25,48,15,40,17,25,0,35,38,38,30,22
chr11,70373,28,23,30,15,23,3,27,8,50,33,35,31,0,9,30,47,23,25,33,23,27,36,31,23,20,46,15,49,19,28,1,43,38,43,32,26
chr11,70379,27,21,31,13,22,1,27,6,49,27,35,30,0,9,36,44,20,26,29,20,26,36,24,26,18,37,15,46,18,22,2,39,36,38,31,22
chr11,70390,25,13,21,4,9,0,17,1,30,7,36,24,0,3,27,28,12,16,18,16,46,33,29,22,13,14,11,15,11,15,0,24,8,23,39,14
chr11,70392,23,13,22,4,10,0,17,1,28,5,35,23,0,1,26,26,10,15,17,15,44,32,24,20,13,14,10,14,10,14,0,24,9,20,38,15
chr11,70394,22,12,20,4,10,0,16,1,28,5,34,22,0,1,26,24,10,15,17,15,44,29,24,19,12,12,10,12,10,14,0,24,8,20,38,14
chr11,70192,22,12,19,4,10,0,16,1,28,5,34,22,0,1,26,24,10,15,17,15,44,29,24,19,12,12,10,12,10,14,0,24,8,20,38,13
chr11,70230,22,14,19,4,9,1,16,1,23,8,33,20,0,2,23,31,11,15,23,15,40,30,24,17,13,11,10,13,11,12,1,28,11,23,47,24
chr11,70271,27,23,29,17,19,2,21,9,48,29,39,25,0,11,31,49,22,17,30,17,22,36,32,17,22,54,14,48,15,28,1,39,38,40,38,23
chr11,70287,23,17,22,5,9,0,20,1,30,8,40,29,0,6,29,29,9,15,16,16,44,37,27,21,13,13,10,19,13,13,0,28,9,31,44,10
chr11,70288,23,17,23,6,10,0,21,1,32,8,39,29,0,6,30,31,9,15,16,16,45,36,28,22,14,13,10,19,13,15,0,29,9,30,45,10
chr11,70323,23,16,22,4,9,0,19,1,32,9,42,29,0,6,29,29,9,15,17,16,44,39,27,22,13,13,10,21,14,13,0,28,9,32,44,11
chr11,70385,24,13,20,4,9,0,17,1,31,7,40,24,0,3,27,28,12,16,18,16,44,38,29,21,14,14,11,15,11,15,0,24,8,27,38,16
chr11,69751,24,15,19,3,11,0,14,2,28,4,32,22,0,3,27,23,14,18,22,17,44,32,31,17,13,16,9,17,11,20,1,26,13,22,39,12
chr11,69795,25,15,19,3,11,0,14,2,26,5,33,22,0,3,27,22,14,18,22,17,43,31,31,17,13,17,9,18,11,20,2,26,14,21,40,12
chr11,70250,19,11,17,3,9,0,14,2,24,5,29,20,0,3,26,21,8,15,20,17,39,28,24,17,12,8,8,11,9,12,0,23,6,20,37,13
chr11,70281,19,11,16,3,9,0,14,2,24,5,29,20,0,3,25,21,8,15,19,17,39,28,24,16,12,8,8,10,9,12,0,23,6,19,36,11
chr11,70326,20,14,18,3,9,0,14,2,24,6,31,22,0,3,30,24,11,15,20,17,37,32,25,16,12,9,10,11,9,12,0,25,8,20,37,13
chr12,15605935,20,14,18,3,9,0,14,2,24,6,31,22,0,3,30,23,11,15,20,17,37,32,25,16,12,9,10,11,9,12,0,25,8,20,37,13
chr12,15605959,20,14,18,3,9,0,14,2,24,6,31,22,0,3,30,22,11,15,19,16,37,31,25,15,12,9,10,11,9,12,0,25,8,20,37,13
chr12,15605971,26,13,22,4,9,0,19,1,36,6,41,25,0,4,29,29,12,16,19,16,46,40,30,24,15,15,12,21,12,16,0,25,10,29,40,17
chr12,15605982,19,11,16,3,9,0,14,2,24,5,29,20,0,3,25,21,8,15,19,17,38,28,24,16,12,8,8,10,9,12,0,23,6,19,36,11
chr12,15605976,8,8,17,9,0,0,6,0,18,9,12,8,0,2,15,14,5,3,15,7,6,0,12,8,5,14,3,15,5,6,0,10,10,12,12,3
chr13,3880956,6,5,16,6,0,0,6,0,14,7,11,7,0,2,15,14,3,3,13,7,6,0,12,7,5,9,2,13,6,5,0,10,10,12,12,3
chr13,3880971,5,4,13,5,0,0,6,0,11,6,10,7,0,1,13,9,3,3,10,5,7,0,10,5,4,6,1,11,5,5,0,10,6,10,11,1
chr13,3880975,5,3,13,5,0,0,6,1,11,6,10,7,0,1,12,9,4,3,9,4,7,0,11,5,4,6,1,10,5,3,0,10,5,8,12,1
chr13,3880985,13,11,8,11,0,1,3,1,9,9,9,7,0,3,6,11,3,3,8,8,7,0,3,6,5,15,7,12,5,15,0,22,15,16,11,14
chr13,3881002,13,11,8,11,0,1,3,1,9,9,9,7,0,3,6,11,2,3,8,8,7,0,3,5,5,15,7,12,5,15,0,21,15,15,11,14
chr13,3881008,13,11,9,11,0,1,3,1,11,11,9,8,0,3,6,12,2,3,8,10,8,0,3,6,6,15,7,16,4,15,0,20,15,17,11,15
chr13,3880961,15,11,8,11,0,1,4,1,12,11,10,9,0,2,6,12,3,3,8,10,8,0,3,6,6,14,7,17,4,16,0,19,15,16,12,15
chr13,3881110,14,9,7,10,0,2,4,1,12,10,8,10,0,1,6,11,3,3,7,10,7,0,3,8,6,13,7,17,5,17,0,19,18,15,12,17
chr13,3881121,14,9,7,11,0,2,4,1,12,11,8,11,0,1,6,12,3,3,7,10,7,0,3,8,6,13,7,18,5,18,0,19,18,14,13,18
chr13,3881148,18,10,10,11,0,2,5,1,15,15,15,15,0,2,9,11,4,2,5,9,11,0,5,15,8,14,6,23,5,13,0,21,19,15,15,13
chr13,3881154,13,11,8,11,0,1,3,1,9,9,10,7,0,3,6,11,3,3,9,10,7,0,3,6,5,15,7,13,6,15,0,22,15,17,12,14
chr13,3881169,8,8,17,10,0,0,6,0,18,11,13,8,0,2,16,15,5,3,15,7,6,0,13,9,5,15,3,15,5,6,0,10,10,14,12,3
chr13,3881188,6,5,16,6,0,0,6,0,14,8,10,7,0,2,14,12,3,3,13,7,6,0,12,7,4,9,2,12,5,5,0,10,10,12,12,3
chr13,11781886,16,14,8,10,0,1,4,1,12,9,10,10,0,4,9,14,3,3,10,10,9,0,4,8,5,20,8,13,6,16,0,22,16,18,16,12
chr13,11781900,10,10,16,11,0,0,7,0,15,12,14,8,0,2,16,16,7,3,12,7,7,0,14,10,7,15,3,15,5,6,0,9,10,14,13,5
chr13,11781905,6,5,16,6,0,0,6,0,13,8,10,7,0,2,14,12,3,3,13,7,6,0,12,7,4,9,2,12,5,5,0,11,10,12,12,3
chr13,3878300,5,4,14,6,0,0,7,0,12,6,10,7,0,1,13,12,3,3,10,5,6,0,11,6,4,7,1,11,5,5,0,11,7,12,13,3
chr13,3878303,5,3,11,2,0,0,6,1,13,6,11,7,0,1,13,9,4,2,8,3,8,0,11,5,4,6,1,9,4,3,0,8,4,7,10,1
chr13,3878374,13,20,8,8,0,0,7,0,13,9,16,10,0,4,14,15,3,3,7,8,14,0,8,15,5,23,5,16,9,10,1,20,14,29,22,11
chr13,3878396,13,20,8,8,0,0,7,0,12,9,15,9,0,4,13,15,2,3,7,6,14,0,8,15,5,24,6,16,9,9,1,20,14,29,22,11
chr13,3880947,13,20,8,8,0,0,7,0,12,9,15,9,0,4,14,15,2,3,7,6,14,0,7,14,5,23,6,15,9,9,1,20,14,29,22,11
chr13,3881026,16,14,8,10,0,1,4,1,12,9,10,10,0,4,8,13,3,3,9,10,8,0,4,7,5,20,8,14,6,16,0,22,16,18,16,12
chr13,3881161,13,11,8,12,0,1,3,1,10,9,10,7,0,3,6,11,3,3,9,10,7,0,3,6,5,15,7,14,6,15,0,22,15,17,12,14
chr13,3880970,5,3,12,2,0,0,6,1,13,6,11,7,0,1,13,9,4,2,8,3,8,0,11,5,4,6,1,9,4,3,0,8,4,7,10,1
chr13,11781906,5,3,13,5,0,0,6,1,11,6,11,7,0,1,12,9,3,3,10,4,7,0,11,5,4,6,1,10,5,4,0,10,5,9,12,1
chr13,11781880,15,10,8,11,0,2,3,1,13,13,10,13,0,1,8,12,2,3,6,10,7,0,4,8,7,10,5,19,5,18,0,20,17,14,13,16
chr14,21131065,14,11,8,11,0,1,4,1,11,11,10,8,0,2,6,12,3,3,8,10,8,0,3,6,6,14,7,16,4,16,0,19,15,17,12,15
chr14,21131066,24,36,32,18,0,7,16,9,39,28,53,18,2,26,28,42,14,10,23,22,35,0,34,29,17,38,14,48,10,24,0,27,31,41,31,27
chr14,21131079,24,36,33,19,0,7,19,9,39,31,56,19,2,27,29,43,16,10,24,23,35,0,36,29,17,40,15,51,10,25,0,29,34,43,33,28
chr14,21132596,26,37,39,21,0,8,19,11,43,33,61,22,2,27,31,44,18,10,27,26,38,0,37,33,18,46,19,56,12,27,0,34,36,47,33,29
chr14,21132611,28,37,41,21,0,9,21,12,44,36,69,26,2,29,32,47,19,10,29,26,40,0,36,33,19,46,19,55,12,29,0,37,37,51,34,32
chr14,21132631,38,33,47,28,0,7,30,14,63,51,82,54,0,28,51,57,19,36,40,32,57,0,52,47,32,60,31,64,29,43,5,53,53,68,37,42
chr14,21132866,36,38,44,27,0,5,30,13,62,48,72,52,0,27,55,57,14,39,40,29,53,0,56,45,36,57,27,63,30,42,5,47,54,65,39,44
chr14,21132886,37,37,45,29,0,4,31,13,64,48,73,55,0,30,55,52,16,40,40,28,53,0,58,46,34,57,27,63,30,42,5,47,52,65,38,46
chr14,21134464,39,32,48,30,0,5,20,10,55,52,64,43,1,23,53,62,22,30,42,23,44,0,48,26,18,50,25,57,18,40,0,44,51,59,53,40
chr14,21134522,26,30,43,27,0,9,23,8,46,52,63,37,0,24,47,61,21,17,30,20,40,0,36,28,18,45,24,54,15,35,0,41,43,51,49,36
chr14,21134528,11,8,24,7,0,1,11,1,15,1,23,14,2,3,12,28,6,2,14,16,27,0,22,10,6,16,10,19,9,10,0,14,17,17,15,12
chr14,21134556,10,8,25,7,0,1,13,2,15,1,23,14,2,3,11,28,8,2,15,17,24,0,24,10,5,16,10,21,9,10,1,15,15,17,16,14
chr14,21134563,1,6,2,0,0,0,0,1,4,3,4,2,0,2,2,2,0,0,2,2,2,0,4,2,1,1,1,4,1,2,0,1,0,3,3,0
chr14,21132614,1,6,3,0,0,0,0,1,4,3,4,2,0,2,3,2,0,0,2,2,2,0,4,2,1,1,1,4,1,2,0,1,1,3,3,0
chr14,21132626,3,8,4,0,0,0,1,1,5,3,6,4,0,2,3,4,1,1,3,2,3,0,4,2,1,1,3,5,2,3,0,2,1,6,4,1
chr14,21132634,6,13,9,3,0,0,2,3,11,6,11,7,0,2,7,11,2,4,8,3,5,0,7,6,2,7,4,11,4,5,0,9,7,11,9,5
chr14,21132646,5,13,10,3,0,0,2,3,12,6,12,7,0,3,8,12,2,5,9,4,6,0,8,7,3,7,4,12,5,5,0,8,8,12,9,6
chr14,23834812,2,6,3,2,0,1,2,0,5,3,7,1,0,0,10,2,2,1,2,1,7,0,8,5,2,6,1,5,1,10,0,4,7,8,14,6
chr14,21134754,2,6,4,2,0,1,2,0,5,3,6,1,0,1,9,2,2,1,2,1,5,0,7,5,2,5,1,4,1,9,0,4,7,9,14,6
chr14,23834820,7,15,10,4,0,3,12,1,12,16,19,5,1,8,21,12,8,2,12,6,16,0,8,11,2,18,5,16,5,14,0,15,14,16,5,13
chr14,23834881,24,36,30,17,0,7,14,9,39,27,50,17,2,26,28,43,14,9,20,22,35,0,35,28,16,36,13,48,10,22,0,27,31,39,29,29
chr14,9729279,45,33,56,37,0,4,25,12,70,56,65,46,1,25,54,67,25,39,47,23,56,0,56,23,21,63,25,61,23,43,0,46,51,60,56,41
chr14,21131085,37,37,53,31,0,3,25,10,53,28,42,35,0,20,37,54,24,24,32,28,47,0,49,48,17,50,27,42,28,27,1,46,55,63,48,64
chr14,21132681,48,37,53,39,0,3,26,10,59,31,46,41,0,20,39,56,27,26,38,30,54,0,56,51,21,50,33,42,29,32,1,52,58,64,50,66
chr14,21132699,48,35,51,37,0,3,24,9,56,31,44,38,0,21,37,54,27,26,36,29,52,0,55,51,19,49,30,43,29,31,1,51,55,62,49,67
chr14,21132731,47,36,51,36,0,2,23,9,56,31,44,37,0,20,34,53,28,27,37,29,51,0,53,49,17,48,29,42,29,30,1,49,54,61,46,67
chr14,21132869,43,36,50,40,0,2,21,10,58,33,42,33,0,19,37,50,29,26,37,26,47,0,51,46,18,46,28,42,30,30,1,48,52,58,44,67
chr14,22839865,52,43,57,48,0,8,35,14,59,44,60,48,4,22,38,70,24,25,51,26,59,0,60,48,28,73,36,60,47,55,6,59,56,70,51,68
chr14,22839866,53,46,57,47,0,8,35,14,59,45,60,50,4,22,39,70,26,26,51,26,58,0,61,49,29,75,35,58,46,54,6,59,58,70,48,68
chr14,21132859,2,6,4,2,0,1,2,0,5,3,6,1,0,0,9,2,2,1,2,1,6,0,7,5,2,5,1,4,1,9,0,4,7,8,14,6
chr14,21134531,2,6,4,2,0,1,2,0,5,3,6,1,0,0,9,2,2,1,2,1,6,0,7,5,2,5,1,4,1,9,0,4,7,8,14,6
chr14,21132916,4,15,8,4,0,2,8,1,10,14,15,5,1,4,18,11,6,3,14,3,15,0,8,8,2,16,4,16,4,14,0,14,13,12,7,15
chr14,21132999,0,9,11,6,0,1,9,0,22,13,4,7,0,3,13,16,2,1,5,7,13,0,3,5,6,13,5,4,4,12,0,5,11,6,1,9
chr14,21133057,1,9,11,6,0,1,9,0,21,12,4,5,0,3,13,15,2,2,3,8,11,0,3,6,5,13,5,3,4,12,0,6,11,6,2,8
chr14,21131112,6,10,5,6,0,2,7,0,17,9,15,3,0,4,14,13,8,2,7,3,10,0,3,3,4,9,6,10,2,6,0,15,7,8,8,7
chr14,21134639,7,11,5,7,0,2,6,0,19,7,15,4,0,6,15,12,8,3,7,4,7,0,6,5,4,11,7,14,2,5,0,18,11,10,9,6
chr14,21131077,35,29,46,31,0,8,21,9,50,52,66,38,0,22,49,61,21,25,37,23,42,0,43,24,19,50,25,52,16,39,0,46,48,56,54,40
chr14,21132871,35,29,44,29,0,8,21,9,44,52,66,38,0,22,47,61,20,25,35,23,41,0,42,26,19,47,26,53,16,38,0,46,48,55,53,40
chr14,21133069,10,9,25,8,0,1,13,2,15,1,23,14,2,3,12,29,8,2,16,16,26,0,24,10,5,16,10,21,9,10,1,15,16,17,16,14
chr15,15345055,6,18,11,5,0,3,12,1,11,17,21,6,1,5,21,12,8,3,14,5,15,0,8,9,2,18,5,17,5,16,0,13,15,16,7,15
chr15,23355809,6,18,12,4,0,2,12,1,11,17,18,5,1,7,20,12,8,3,13,6,16,0,8,9,2,18,5,15,5,15,0,13,14,17,7,15
chr15,23355811,23,36,30,17,0,7,13,9,38,26,50,16,2,25,28,42,14,9,19,22,35,0,34,28,16,35,13,47,10,22,0,27,31,38,28,29
chr15,23355812,0,3,1,2,0,1,0,1,3,3,5,3,0,3,9,12,3,1,1,2,4,0,4,3,2,4,3,2,0,2,0,5,6,4,8,9
chr15,23355813,0,3,1,2,0,0,0,1,3,3,5,3,0,5,9,12,3,1,1,3,4,0,4,2,2,4,3,2,0,2,0,4,5,5,9,9
chr15,23355825,0,2,1,2,0,0,0,1,4,3,7,3,0,5,9,11,3,1,1,2,4,0,4,2,2,4,3,2,0,2,0,4,5,5,9,9
chr15,23162786,0,2,2,2,0,0,0,1,3,3,8,4,0,5,10,11,3,1,1,2,4,0,3,2,2,4,3,3,0,2,0,3,5,5,9,9
chr15,23162809,0,2,2,2,0,0,0,1,4,2,7,4,0,5,10,11,3,1,1,2,6,0,3,2,2,4,3,3,0,2,0,3,5,5,8,9
chr15,23162958,1,2,2,2,0,0,0,1,4,2,9,4,0,5,8,10,2,1,1,2,7,0,3,4,2,4,3,3,0,2,0,3,5,6,10,8
chr15,23163019,1,1,2,2,0,0,0,1,6,2,9,1,0,2,4,8,2,0,1,2,4,0,5,2,1,3,3,3,1,2,0,5,4,2,8,3
chr15,23163027,8,11,5,7,0,2,6,0,18,6,15,4,0,6,15,12,8,3,7,4,7,0,6,5,4,11,7,14,2,5,0,18,12,10,9,5
chr15,23162789,2,8,5,2,0,1,3,0,10,5,10,2,0,1,13,3,3,1,7,1,13,0,10,8,3,8,2,6,4,10,0,5,10,9,15,9
chr15,23162998,3,7,5,4,0,1,2,0,5,6,6,3,0,2,10,3,3,1,1,1,8,0,3,8,5,7,1,4,4,9,0,7,6,12,19,8
chr15,23163028,37,40,40,30,0,5,16,10,54,37,55,29,2,19,34,61,32,27,47,31,47,0,41,42,18,58,32,50,36,37,1,44,51,67,52,53
chr16,6614507,38,38,40,29,0,5,16,11,51,36,55,28,2,18,31,62,30,25,44,31,45,0,39,41,17,53,30,47,33,35,1,44,49,64,50,51
