Chrom,Location,SRR10901765.tmp,SRR10901766.tmp,SRR10901767.tmp,SRR10901768.tmp,SRR10901769.tmp,SRR10901770.tmp,SRR10901771.tmp,SRR10901772.tmp,SRR10901773.tmp,SRR10901774.tmp,SRR10901776.tmp,SRR10901777.tmp,SRR10901778.tmp,SRR10901779.tmp,SRR10901780.tmp,SRR10901781.tmp,SRR10901782.tmp,SRR10901783.tmp,SRR10901784.tmp,SRR10901785.tmp,SRR10901787.tmp,SRR10901788.tmp,SRR10901789.tmp,SRR10901790.tmp,SRR10901791.tmp,SRR10901792.tmp,SRR10901793.tmp,SRR10901794.tmp,SRR10901795.tmp,SRR10901796.tmp,SRR10901797.tmp,SRR10901798.tmp,SRR10901799.tmp,SRR10901800.tmp,SRR10901801.tmp,SRR10901802.tmp,SRR10901803.tmp,SRR10901804.tmp,SRR10901805.tmp,SRR10901807.tmp,SRR10901808.tmp,SRR10901809.tmp,SRR10901810.tmp,SRR10901811.tmp,SRR10901812.tmp,SRR10901813.tmp,SRR10901814.tmp,SRR10901815.tmp,SRR10901816.tmp,SRR10901818.tmp,SRR10901819.tmp,SRR10901820.tmp,SRR10901822.tmp,SRR10901823.tmp,SRR10901824.tmp,SRR10901825.tmp,SRR10901826.tmp,SRR10901827.tmp,SRR10901828.tmp
chr10,6227970,33,0,26,14,21,18,46,45,33,34,23,38,26,34,14,27,18,37,22,38,28,22,22,33,83,10,38,28,21,33,21,18,29,2,3,23,25,19,21,30,20,31,0,1,25,19,44,44,30,25,15,15,19,16,28,28,28,13,17
chr10,6229026,14,1,7,7,20,13,22,28,5,10,21,13,8,15,8,11,12,19,19,26,14,7,10,29,41,14,21,25,10,11,10,10,23,0,0,11,11,13,10,11,7,20,1,0,16,14,30,25,14,11,6,7,9,12,20,10,11,2,13
chr10,6229027,14,1,7,7,20,13,22,27,6,10,21,13,8,15,8,11,12,19,18,25,14,7,10,28,41,14,21,25,10,11,10,10,23,0,0,11,11,13,10,11,7,20,1,0,16,14,30,25,14,11,6,7,9,12,20,10,11,2,12
chr10,6229032,14,1,7,7,20,13,22,27,6,10,21,13,8,15,8,11,12,19,18,26,14,7,10,29,41,15,21,25,10,11,10,10,23,0,0,11,11,13,10,11,7,20,1,0,16,14,30,25,14,11,6,7,9,12,20,10,11,2,12
chr10,6229035,19,2,8,13,18,15,16,18,12,10,10,7,7,13,13,7,15,12,13,12,9,3,15,15,37,6,15,16,9,8,5,9,14,0,0,12,7,12,9,5,10,18,1,2,10,9,34,20,14,10,9,13,14,6,14,9,12,5,10
chr10,6229041,5,0,1,4,10,5,10,13,9,7,5,9,5,5,8,11,4,13,12,10,6,6,12,6,19,4,10,5,4,7,7,7,8,0,1,6,4,4,7,9,2,3,0,2,8,3,14,8,10,3,3,7,6,6,3,7,5,2,4
chr10,6229042,48,8,43,31,33,41,62,65,33,33,39,41,39,36,20,37,38,49,38,49,27,30,30,50,102,26,35,29,21,43,32,43,42,0,2,35,48,38,42,23,30,37,1,3,43,23,65,49,49,35,28,31,29,31,29,31,34,22,17
chr10,6229072,48,9,38,30,31,38,61,65,33,30,40,41,40,37,22,38,39,47,40,49,27,30,29,50,100,24,35,29,20,43,30,43,42,0,2,34,47,37,40,20,30,34,1,3,39,23,65,45,48,36,28,30,28,33,31,30,32,21,16
chr10,6229025,51,9,37,31,31,38,56,63,30,32,31,39,40,38,21,36,36,46,43,46,27,29,26,44,99,25,37,30,21,43,30,39,42,0,2,36,46,38,40,18,27,34,1,3,39,25,66,42,46,36,26,28,30,34,31,28,35,20,16
chr10,6227933,47,9,42,30,34,41,60,67,30,38,30,42,37,37,26,39,41,51,42,47,29,29,31,47,113,24,41,30,25,42,31,42,44,0,2,39,49,43,43,21,31,36,1,3,40,26,66,50,48,37,25,29,26,34,33,33,40,20,16
chr10,6227943,50,9,39,35,36,44,75,68,39,48,40,41,44,34,32,41,35,61,43,50,30,32,32,54,120,25,42,29,30,49,33,43,47,0,1,43,58,49,48,25,28,43,1,3,42,27,77,62,43,45,25,32,33,36,32,32,40,19,15
chr10,6229012,52,8,41,29,32,38,74,69,35,40,33,35,43,39,33,33,35,65,39,45,30,29,31,49,110,24,40,29,23,45,32,43,48,0,1,43,55,40,34,27,24,44,1,3,43,26,74,52,37,41,23,28,32,34,26,26,41,18,12
chr10,6227929,46,8,36,25,29,31,65,62,32,36,28,29,41,34,29,32,32,58,33,42,26,23,25,47,98,22,35,27,23,38,29,38,41,0,1,40,50,38,30,25,22,40,1,3,39,23,68,46,34,37,24,27,30,33,23,24,36,16,10
chr10,6227944,14,1,6,7,21,15,24,26,7,10,20,13,9,14,8,11,12,19,18,25,14,8,11,26,46,15,22,21,10,10,10,9,23,0,0,10,8,13,11,10,7,21,1,0,15,14,31,25,13,13,6,7,9,12,21,11,11,2,13
chr10,6227954,12,2,6,8,11,17,10,18,8,7,7,6,10,7,8,4,8,7,11,7,8,2,9,13,31,6,16,15,10,6,4,7,8,0,0,6,7,9,6,4,6,8,0,2,8,6,23,17,12,6,4,9,8,5,10,11,10,3,9
chr10,6227977,12,2,6,8,11,17,10,18,8,7,7,6,10,7,8,4,8,7,11,7,8,2,9,13,31,5,16,15,10,6,4,7,8,0,0,6,7,9,6,4,6,8,0,2,8,6,23,17,12,6,4,9,8,5,10,11,10,3,9
chr10,6228948,14,2,7,11,13,15,10,14,9,4,8,4,8,7,10,5,9,7,12,7,7,2,10,14,31,6,15,14,9,5,4,7,8,0,0,8,8,9,9,4,8,12,0,2,9,7,24,20,12,6,4,11,9,5,10,10,8,3,9
chr10,6228949,19,2,7,13,16,11,14,17,12,7,9,6,8,10,11,7,13,10,12,9,9,2,13,16,34,6,14,16,9,7,7,8,13,0,0,10,9,13,10,5,12,18,1,2,9,8,30,22,13,8,6,11,13,5,13,10,10,5,10
chr10,6228951,18,2,9,13,18,15,17,16,10,10,9,7,7,13,13,7,14,12,12,12,10,3,15,15,35,5,15,16,10,8,5,10,14,0,0,13,7,12,10,5,10,18,1,2,10,9,33,20,13,10,9,12,14,6,14,9,12,5,10
chr10,6229013,18,2,9,13,18,15,17,16,10,10,10,7,7,13,13,7,13,12,13,11,10,3,15,15,35,5,15,17,10,8,5,10,14,0,0,13,7,12,10,5,10,18,1,2,10,9,33,20,13,10,9,12,14,6,14,9,12,5,10
chr10,6229024,16,1,7,8,17,12,14,12,10,12,9,6,5,12,11,7,11,11,13,12,7,3,13,14,33,5,12,16,8,6,4,10,15,0,0,10,6,10,9,3,9,17,1,0,7,7,30,19,14,14,9,9,11,4,14,6,8,3,11
chr10,6227976,48,9,38,30,30,38,61,64,33,31,39,39,41,37,21,38,38,47,41,49,27,30,29,49,100,24,35,29,19,42,29,43,41,0,2,34,46,37,39,20,30,34,1,3,39,24,64,45,48,36,28,29,29,33,31,30,32,20,16
chr10,6227967,9,0,9,3,6,2,7,3,1,4,7,8,5,6,3,12,7,6,5,3,3,3,4,10,14,2,8,5,3,7,5,6,4,0,0,5,10,10,8,5,2,11,0,0,3,4,12,11,8,7,10,3,5,8,3,7,7,2,8
chr10,6229050,10,0,11,3,5,1,9,3,3,2,6,9,7,4,1,9,7,4,6,2,4,3,7,12,14,5,12,5,3,7,6,7,7,0,1,5,11,7,11,5,4,9,0,0,2,7,15,7,9,6,8,5,5,9,2,8,8,4,9
chr10,6229034,6,0,11,3,7,1,9,3,7,2,7,10,8,5,2,10,10,5,4,4,6,3,5,13,11,5,6,8,3,7,10,7,9,0,1,7,10,6,10,7,5,12,0,0,3,8,16,6,10,7,8,6,6,13,6,7,7,3,8
chr11,23953491,47,9,39,30,31,39,61,62,35,31,39,41,40,36,22,37,38,47,39,49,27,29,29,48,99,24,35,29,20,42,30,42,42,0,2,34,47,38,40,21,30,34,1,3,39,23,62,46,48,35,28,29,28,33,31,30,33,21,16
chr11,23953492,51,8,41,28,32,36,71,67,34,40,32,33,42,38,32,32,35,63,38,43,30,28,31,48,106,24,39,29,23,43,32,41,47,0,1,43,54,39,33,26,24,43,1,3,42,26,72,50,36,40,23,29,31,34,25,25,40,18,11
chr11,69736,49,8,40,28,31,34,70,67,33,38,31,32,42,37,32,31,35,63,37,43,29,26,29,48,105,24,38,28,23,43,32,40,45,0,1,43,53,39,32,26,24,43,1,3,40,26,71,50,36,40,24,29,31,33,24,25,38,18,11
chr11,69741,46,7,35,27,31,30,65,62,32,36,27,29,40,33,28,33,32,57,33,40,26,23,26,46,99,22,35,28,23,39,29,38,42,0,2,40,48,37,30,25,21,40,1,3,39,23,68,46,36,35,25,27,31,33,24,24,36,15,11
chr11,69749,14,1,7,7,21,15,24,26,7,10,20,13,9,14,8,11,12,19,18,25,14,8,11,26,46,15,22,21,10,10,10,9,23,0,0,10,9,13,11,10,7,21,1,0,15,14,31,25,14,13,6,7,9,12,20,11,11,2,13
chr11,69758,41,9,26,25,28,29,59,51,32,31,25,30,38,27,24,33,31,43,30,33,20,23,23,51,95,15,32,29,23,42,32,29,35,0,2,36,44,38,23,24,20,37,1,2,34,26,65,46,33,32,23,29,26,25,23,27,30,11,10
chr11,70363,41,9,26,25,28,29,59,51,32,31,25,30,38,27,24,33,31,43,31,33,20,23,23,51,95,15,32,29,23,42,32,29,35,0,2,36,44,38,23,24,20,37,1,2,34,26,65,46,33,32,23,29,26,25,23,26,30,11,10
chr11,70373,42,11,32,28,30,33,62,57,39,34,26,32,43,29,27,38,29,45,39,41,28,23,27,53,111,21,48,30,30,46,30,27,38,0,1,37,50,35,29,30,24,42,1,3,32,23,70,47,38,36,22,32,27,30,23,28,37,16,19
chr11,70379,40,10,27,26,32,31,62,61,35,33,30,36,38,28,26,31,29,43,32,38,25,23,28,49,107,18,49,32,31,44,29,24,39,0,1,38,44,36,28,30,22,38,1,3,28,21,69,43,31,30,23,26,28,27,24,33,35,13,14
chr11,70390,12,1,5,6,22,13,22,22,8,12,17,10,8,12,7,8,9,16,14,22,15,9,9,27,43,14,17,24,6,10,8,10,19,0,0,7,10,10,9,6,7,16,1,0,10,16,24,24,11,13,4,6,7,10,22,10,7,1,13
chr11,70392,10,0,3,4,18,13,19,21,5,11,13,10,8,10,6,5,7,13,10,17,14,8,8,23,37,14,17,21,6,9,7,9,17,0,0,7,10,6,7,6,8,15,0,0,7,16,23,22,10,11,3,4,6,10,21,12,8,0,15
chr11,70394,10,0,4,4,17,11,18,21,5,11,12,10,7,8,4,6,5,11,8,14,14,9,7,22,36,13,16,19,6,9,5,8,14,0,0,6,9,5,7,5,8,14,1,0,6,14,21,18,8,11,2,4,6,10,19,10,7,0,15
chr11,70192,10,0,4,4,16,10,18,21,5,11,12,10,7,8,4,6,5,11,8,14,14,9,7,23,37,13,17,19,6,9,4,8,14,0,0,6,9,5,7,5,8,14,1,0,6,13,21,18,8,11,2,4,6,10,19,10,7,0,15
chr11,70230,17,1,4,9,12,5,17,17,9,9,12,10,13,12,7,21,6,14,17,16,8,4,9,13,37,8,16,11,4,7,10,13,17,0,2,10,7,9,8,7,9,8,0,0,15,13,23,17,9,19,3,1,11,5,8,14,9,2,14
chr11,70271,48,8,37,25,29,31,66,63,33,36,28,29,41,35,29,32,32,58,33,42,26,24,24,47,99,22,36,27,23,38,29,38,41,0,1,40,50,38,30,25,22,40,1,3,38,23,68,47,34,37,24,27,30,33,23,24,36,16,10
chr11,70287,7,0,11,10,18,15,17,21,7,15,17,14,8,11,8,10,17,12,14,23,13,6,12,26,27,9,17,16,9,11,2,6,17,0,0,5,13,3,3,11,3,8,1,0,4,9,24,8,16,11,2,3,2,2,10,12,10,0,10
chr11,70288,7,0,11,9,19,14,16,20,7,16,16,12,8,11,10,10,15,11,12,22,13,6,11,26,28,9,14,17,8,11,2,6,15,0,0,4,14,3,3,10,2,7,1,0,4,8,23,8,16,12,2,2,2,2,9,13,9,0,9
chr11,70323,8,0,9,9,20,15,19,21,6,14,18,15,8,12,8,11,15,11,13,23,13,6,12,24,28,12,16,15,11,11,3,6,18,0,0,6,11,4,4,9,3,10,1,0,7,8,24,8,17,12,4,3,4,3,12,12,12,0,12
chr11,70385,11,1,6,7,23,15,24,25,8,12,20,12,9,14,7,10,11,17,17,25,13,8,11,28,43,15,21,22,9,11,10,9,20,0,0,9,8,10,11,8,6,18,1,0,13,16,30,24,13,13,6,6,9,10,23,10,9,2,14
chr11,69751,17,1,8,6,16,10,18,14,11,12,13,10,7,15,10,9,13,13,16,10,8,4,14,21,38,4,9,16,6,9,6,13,16,0,0,13,9,7,10,5,9,19,2,0,9,6,34,21,13,17,11,12,12,6,14,7,11,3,12
chr11,69795,19,2,8,7,14,12,18,16,11,13,13,10,7,16,9,9,13,14,17,11,9,4,15,22,39,4,12,16,6,9,7,12,17,0,0,13,9,9,11,5,9,20,2,0,10,6,35,20,13,18,11,11,11,7,14,7,12,4,15
chr11,70250,9,1,6,5,11,6,9,7,6,8,9,8,4,7,11,9,7,5,13,4,6,4,3,19,28,2,12,17,6,3,7,12,14,0,0,6,9,5,15,7,5,10,0,0,14,2,20,14,12,12,7,9,6,4,9,10,4,5,13
chr11,70281,9,1,4,6,11,6,9,8,5,7,8,8,4,7,10,9,7,4,13,4,5,4,4,18,29,2,11,16,5,3,7,12,15,0,0,6,9,4,13,8,4,8,0,0,14,2,21,14,12,11,6,8,6,4,9,10,4,5,14
chr11,70326,8,0,3,9,8,7,12,12,5,7,5,4,4,9,9,9,4,8,11,6,7,8,4,14,26,0,10,11,9,2,10,11,14,1,0,8,6,5,11,7,6,10,0,0,11,3,23,12,12,16,7,4,9,8,10,11,5,3,11
chr12,15605935,8,0,3,9,8,6,12,12,5,7,5,3,4,9,9,9,4,8,11,6,6,8,4,14,25,0,10,11,9,2,10,10,13,1,0,8,6,5,12,7,6,10,0,0,11,3,23,12,12,16,7,4,9,8,9,11,5,3,11
chr12,15605959,7,0,3,9,8,4,12,11,5,7,5,3,3,8,8,9,4,7,11,5,6,8,4,15,24,0,10,11,9,2,9,11,12,1,0,8,6,5,12,7,5,10,0,0,10,3,24,13,9,15,7,3,9,7,9,11,6,3,10
chr12,15605971,14,1,7,8,22,13,20,24,6,9,22,13,8,15,8,11,12,18,20,25,16,6,11,27,40,14,21,22,10,12,10,10,22,0,0,11,11,13,10,12,7,20,1,0,16,14,29,25,15,11,6,7,9,11,20,10,11,2,13
chr12,15605982,9,1,4,6,11,6,9,8,4,7,8,7,4,7,11,9,7,4,12,4,5,4,4,18,29,2,11,16,5,3,7,12,15,0,0,6,9,5,13,8,4,7,0,0,14,2,21,14,12,11,6,8,5,4,9,10,4,5,14
chr12,15605976,20,0,10,10,10,10,22,10,16,13,9,10,9,17,10,7,15,16,12,11,8,4,13,19,46,6,13,11,9,13,12,9,7,1,0,15,13,8,11,10,7,16,0,0,13,12,29,24,17,18,5,9,0,15,17,9,17,4,6
chr13,3880956,17,0,8,12,11,7,20,9,13,13,7,10,8,15,11,7,14,16,12,9,8,4,12,19,45,5,10,10,7,11,12,9,6,1,0,14,14,7,10,13,7,13,0,1,14,11,27,23,14,13,5,10,0,14,16,10,17,5,5
chr13,3880971,14,0,7,13,12,7,18,10,11,11,9,8,6,12,10,6,13,13,11,10,3,4,11,16,38,2,9,8,7,10,9,8,6,1,1,12,11,7,13,12,6,16,0,1,14,11,19,25,13,13,7,9,0,10,17,10,17,3,5
chr13,3880975,13,0,7,13,13,7,16,8,10,9,9,9,3,12,10,6,12,11,10,10,5,3,9,16,39,2,7,7,7,11,9,5,5,1,1,12,9,7,11,11,6,15,0,1,17,10,20,25,13,12,7,10,0,8,17,9,16,4,4
chr13,3880985,20,2,9,10,11,8,20,9,6,8,10,14,4,6,6,0,8,19,10,7,6,3,3,21,43,3,12,5,11,13,12,6,3,0,0,20,13,12,16,9,13,13,0,0,16,10,20,19,18,18,6,3,0,10,8,10,16,3,7
chr13,3881002,20,2,9,10,11,7,20,9,6,7,10,14,4,6,6,0,7,19,9,7,6,3,3,20,44,3,12,5,11,13,12,6,3,0,0,20,13,12,16,9,13,13,0,0,15,10,19,19,17,18,6,3,0,10,8,10,16,3,6
chr13,3881008,22,2,9,10,11,7,20,8,7,7,9,14,4,8,5,1,7,19,12,6,6,3,3,20,45,3,11,5,11,13,13,6,4,0,1,20,14,12,17,9,13,13,0,0,15,9,20,19,17,18,6,3,0,10,8,10,16,3,6
chr13,3880961,24,2,9,10,11,7,22,8,7,7,9,13,4,8,5,1,7,19,12,5,6,4,3,20,44,3,11,5,10,13,14,6,5,0,1,20,15,13,17,9,13,13,0,0,14,8,20,19,18,17,6,3,0,9,9,9,16,2,4
chr13,3881110,24,2,9,9,11,8,24,7,8,7,9,13,4,6,6,2,8,20,12,5,6,4,3,21,41,3,10,6,10,13,15,6,6,0,1,21,14,12,16,10,13,12,0,0,14,7,19,20,15,18,7,3,0,8,10,9,15,2,4
chr13,3881121,24,2,9,10,10,9,26,8,9,7,10,13,4,7,6,2,10,21,13,6,6,4,5,21,43,3,11,7,10,14,16,6,8,0,1,22,15,13,16,11,13,13,0,0,15,7,21,22,16,19,8,3,0,9,11,9,15,3,4
chr13,3881148,31,2,16,15,14,12,32,15,16,12,10,19,7,14,8,4,16,31,20,10,10,7,16,27,46,6,17,12,15,21,20,13,16,0,1,26,19,16,19,16,14,14,1,1,18,11,27,30,21,24,10,8,0,12,15,9,20,4,12
chr13,3881154,21,2,9,10,12,8,20,9,6,9,10,14,4,6,6,0,8,19,11,7,6,3,3,21,43,3,12,5,11,13,13,6,2,0,0,20,13,12,16,9,14,13,0,0,16,10,20,19,18,18,6,3,0,10,8,10,18,4,7
chr13,3881169,21,0,11,9,10,10,22,12,17,14,10,10,10,19,10,8,16,17,14,12,9,4,13,20,48,7,14,11,10,12,12,11,8,1,0,15,15,9,11,12,7,16,0,0,15,13,29,25,18,19,5,8,0,15,17,10,18,4,7
chr13,3881188,17,0,8,12,11,7,20,9,13,12,7,10,8,14,11,6,13,16,12,9,7,4,12,19,44,5,10,10,7,11,12,8,6,1,0,14,13,7,10,13,7,13,0,1,14,10,26,22,15,13,5,10,0,13,16,10,16,5,5
chr13,11781886,26,1,11,13,11,6,23,11,9,10,10,16,3,8,7,0,7,22,13,8,7,5,4,21,49,3,12,7,9,16,12,5,2,0,0,23,11,13,19,14,12,14,0,0,23,11,24,21,19,19,8,4,0,11,9,14,19,4,8
chr13,11781900,22,1,10,11,12,12,24,12,19,12,11,11,10,20,11,9,17,18,13,13,9,5,15,19,51,7,16,13,11,12,12,11,9,2,0,15,15,11,13,11,9,18,0,0,17,13,32,26,19,19,6,9,0,16,17,10,19,5,7
